year,extreme_ind,gdp_gr,gdppc_gr,inflation,tby_10yr,tby_1yr,sp500_rtn,sp500_divd,Baa_cs,Aaa_cs,BBB_default,ur,Fed_rate,pce,fpi,ge,mhp_gr,rent_gr
1871,Y,,,,0.0532,0.0635,,0.058558559,,,,,,,,,,
1872,Y,,,0.015270384,0.0536,0.0781,0.094594595,0.061728395,,,,,,,,,,
1873,Y,,,0.02255462,0.0558,0.0835,0.051440329,0.064579256,,,,,,,,,,
1874,Y,,,-0.044120519,0.0547,0.0686,-0.088062622,0.070815451,,,,,,,,,,
1875,Y,,,-0.069225661,0.0507,0.0496,-0.025751073,0.066079295,,,,,,,,,,
1876,N,,,-0.057856006,0.0459,0.0533,-0.017621145,0.067264574,,,,,,,,,,
1877,N,,,0.008773737,0.0445,0.0503,-0.204035874,0.053521127,,,,,,,,,,
1878,N,,,-0.156524529,0.0434,0.049,-0.084507042,0.055384615,,,,,,,,,,
1879,N,,,-0.103088178,0.0422,0.0425,0.101538462,0.055865922,,,,,,,,,,
1880,N,,,0.206899934,0.0402,0.051,0.427374302,0.050880626,,,,,,,,,,
1881,N,,,-0.057146337,0.037,0.0479,0.211350294,0.051696284,,,,,,,,,,
1882,N,,,0.080807546,0.0362,0.0526,-0.04361874,0.054054054,,,,,,,,,,
1883,N,,,-0.018687481,0.0363,0.0535,-0.018581081,0.056798623,,,,,,,,,,
1884,N,,,-0.076197809,0.0362,0.0565,-0.108433735,0.05984556,,,,,,,,,,
1885,N,,,-0.103088178,0.0352,0.0422,-0.181467181,0.056603774,,,,,,,,,,
1886,N,,,-0.034483965,0.0337,0.0426,0.226415094,0.042307692,,,,,,,,,,
1887,N,,,0,0.0352,0.0611,0.073076923,0.044802867,,,,,,,,,,
1888,N,,,0.047622804,0.0367,0.0502,-0.048387097,0.043314501,,,,,,,,,,
1889,N,,,-0.045457968,0.0345,0.0468,-0.013182674,0.041984733,,,,,,,,,,
1890,N,,,-0.047618762,0.0342,0.0541,0.026717557,0.040892193,,,,,,,,,,
1891,Y,,,0.024999843,0.0362,0.0597,-0.100371747,0.045454545,,,,,,,,,,
1892,Y,,,-0.060975754,0.036,0.0393,0.138429752,0.043557169,,,,,,,,,,
1893,N,,,0.077922717,0.0375,0.0852,0.01814882,0.04456328,,,,,,,,,,
1894,N,,,-0.132530775,0.037,0.0332,-0.229946524,0.048611111,,,,,,,,,,
1895,N,,,-0.041665833,0.0346,0.0309,-0.016203704,0.044705882,,,,,,,,,,
1896,N,,,0.01449204,0.036,0.0576,0.004705882,0.042154567,,,,,,,,,,
1897,N,,,-0.028571257,0.034,0.0344,-0.011709602,0.042654028,,,,,,,,,,
1898,N,,,0.029411583,0.0335,0.0355,0.156398104,0.040983607,,,,,,,,,,
1899,Y,,,0.014286237,0.031,0.0336,0.245901639,0.034539474,,,,,,,,,,
