Name,Category,Pandemic,Start_Year,End_Year,Duration,Death,Confirmed_Case,Population,Case_Fatality_Rate,Mortality_Rate,Infection_Rate,AG_Infant,AG_Children,AG_Young_Adult,AG_Mid_Age,AG_Old,Country_Region
Afghan Cholera Epidemic,Cholera,No,1930,1946,16.49885845,2141,3855,,0.56,,,,,,,,Africa
Afghan Influenza Epidemic of 1918,Influenza,No,1918,1919,1.610730594,10000,,,,,,,,,,,Africa
Afghan Smallpox Epidemic of 1970–72,Smallpox,No,1970,1972,2.998858447,,1044,,,,,,,,,,Africa
African AIDS Epidemics,HIV/AIDS,No,1970,2010,40.99885845,,,,,,,,,,,,Africa
African and Asian Conjunctivitis Pandemic of 1969–71,Acute hemorrhagic conjunctivitis (AHC),Yes,1969,1971,2,,,,,,,,,,,,Africa
African Cholera Pandemic of 1989–91,Cholera,Yes,1989,1991,2.998858447,25000,210000,,0.119047619,,,,,,,,Africa
African Influenza Epidemic of 1890,Influenza,No,1890,1890,0.998858447,,,,,,,,,,,,Africa
African Malaria Epidemics of the 1990s–2006,Malaria,No,1990,2006,16.99885845,1500000,400000000,,,,,1,,,,,Africa
Albenga Meningitis Epidemic of 1815,cerebrospinal meningitis (CSM),No,1815,1815,0.998858447,,,,,,,,,,,,Switzerland
Algerian Malaria Epidemic of 1941,Malaria,No,1941,1941,0.998858447,,,,,,,,,,,,Algeria
Algerian Relapsing Fever Epidemic of 1943–46,Relapsing Fever,No,1943,1946,3,2000,31847,,,,,,,,,,Algeria
Algerian Typhus Epidemic of 1942–44,Typhus,No,1942,1944,2.998858447,12840,52000,,,,,,,,,,Algeria
Angolan Cholera Epidemic of 2006,Cholera,No,2006,2006,0.915525114,80000,,,,,,,,,,,Angola
Angolan Marburg Fever Epidemic of 2004–05,Ebola,No,2004,2005,1.099771689,329,374,,0.879679144,,,,,,,,Angola
Angolan Poliomyelitis Epidemic of 1999,Poliomyelitis,No,1998,2005,7.082191781,50,1000,,0.05,,,,1,,,,Angola
Angolan Smallpox Epidemic of 1864–65,Smallpox,No,1864,1865,1.998858447,25000,,,,,0.333333333,,,,,,Angola
Antonine Plague (Plague of Galen),Smallpox,No,165,180,15.99885845,,,,,,,,,,,,Europe and Minor Asia
Ashanti Influenza Epidemic of 1918,Influenza,No,1918,1918,0.269178082,9000,,,,,,,,,,,Ashanti
Ashanti Plague of 1924–25,Plague,No,1924,1925,1.998858447,140,166,,0.843373494,,,,,,,,Ashanti
Asian Influenza Pandemic of 1957–58,Influenza,Yes,1957,1968,11.91552511,,,,,,,,,,,,Asia
Asiatic and European Influenza Pandemic of 1830–31,Influenza,Yes,1829,1831,2.166666667,,,,0.005369466,0.001262448,0.235116104,,,,,,"Asia, Europe"
Asiatic and European Influenza Pandemic of 1836–37,Influenza,Yes,1836,1837,1.248858447,,,,,,0.5,,,,,,"Asia, Europe"
Asiatic Cholera Pandemic of 1817–23,Cholera,Yes,1817,1823,6.415525114,,,,,,,,,,,,Asia 
Asiatic Cholera Pandemic of 1826 - 37,Cholera,Yes,1826,1837,11.99885845,170000,,,0.4,,,,,,,,India
Asiatic Cholera Pandemic of 1846–63,Cholera,Yes,1846,1863,17.99885845,,,,,,,,,,,,India
Asiatic Cholera Pandemic of 1865–75,Cholera,Yes,1865,1875,10.99885845,968866,,,,,0.33,,,,,,India
Asiatic Cholera Pandemic of 1881–96,Cholera,Yes,1881,1896,15.99885845,60000,,,0.375,,,,,,,,India
Asiatic Cholera Pandemic of 1899–1923,Cholera,Yes,1899,1923,24.99885845,2519623,,,,,,,,,,,India
Asiatic Cholera Pandemic of 1961–75,Cholera,Yes,1961,1962,1.998858447,,,,0.166666667,,,,,,,,Indonesia
Asiatic Influenza Pandemic of 1889–90,Influenza,Yes,1889,1890,1.665525114,,,,,,0.8,,,,,,Uzbekistan
Astrakhan Cholera Epidemic of 1823,Cholera,No,1823,1823,0.998858447,,,,0.522959184,,,,,,,,Russia
Astrakhan Plague of 1727–28,Plague,No,1727,1728,1.498858447,3000,,20000,,0.15,,,,,,,Russia
"Athens, Great Plague of (Plague of Thucydides)",Plague,No,-430,-430,0.998858447,,,,,0.333333333,,,,,,,Europe
Augsburg Typhus Epidemic of 1703–04,Typhus,No,1703,1704,1.998858447,6006,,,,,,,,,,,Germany
Australian Influenza Epidemic of 1918–19,Influenza,No,1918,1919,0.748858447,9185,,,0.261,,0.3,,,,,,Australia
Australian Murray Valley Encephalitis Epidemics,Encephalitis,No,1917,1974,57.99885845,133,,,,,,,,,,,Australia
Australian Rubella Epidemic of 1938–41,Measles,No,1938,1941,3.998858447,,,,,,,,,,,,Australia
Australian Scarlet Fever Epidemic of 1875–76,Scarlet Fever,No,1875,1876,0.829452055,575,9000,,0.063888889,,,1,,,,,Australia
Australian Smallpox Epidemic of 1788–89,Smallpox,No,1788,1789,1.998858447,,,,,0.5,,,,,,,Australia
Austrian and Prussian Typhus Epidemics of 1805–07,Typhus,No,1805,1807,2.998858447,50000,,,,0.25,,,,,,,Austria
Avian Influenza (Bird Flu) Outbreaks,Influenza,No,1997,1997,0.998858447,127,225,,0.7,,,,,,,,World
Bahamian Yellow Fever Epidemic of 1862–64,Yellow Fever,No,1862,1864,2.998858447,2500,,6000,,0.416666667,,,,,,,Bahama
Bangkok Poliomyelitis Epidemic of 1952,Poliomyelitis,No,1952,1952,0.25,23.28,388,,0.06,,,,,,,,Thailand
Bangladeshi Smallpox Epidemic of 1971–73,Smallpox,No,1971,1973,1.416666667,7000,45214,,0.065092059,,,,,,,,India
Barbadian Yellow Fever Epidemic of 1647,Yellow Fever,No,1647,1647,0.998858447,5000,,,0.8,,,,,,,,Barbados
Barbadian Yellow Fever Epidemic of 1691,Yellow Fever,No,1691,1691,0.998858447,3100,,55000,,0.056363636,,,,,,,Barbados
Barcelona Yellow Fever Epidemic of 1821,Yellow Fever,No,1821,1821,0.998858447,19000,,120000,,0.158333333,,,,,,,Spain
Basel Plague of 1610–11,Plague,No,1610,1611,1.998858447,3968,6408,15000,0.619225968,0.264533333,0.4272,,,,,,Switzerland
"Black Death (Black Plague, Bubonic Plague, Second Plague Pandemic)",Plague,Yes,1332,1351,19.99885845,50000000,,,,,,,,,,,"Asia, Europe"
Blackfoot Indian Smallpox Epidemic of 1837–38,Smallpox,No,1837,1838,1.582191781,4000,,,,,,,,,,,"USA, Canada"
Bolivian Hemorrhagic Fever Epidemic of 1959–64,Machupo Virus,No,1959,1962,3.998858447,150,750,5000,0.2,0.03,0.15,,,,,,Bolivia
Boston Smallpox Epidemic of 1666,Smallpox,No,1666,1666,0.998858447,40,500,4000,0.08,0.01,0.125,,,,,,USA
Boston Smallpox Epidemic of 1677–78,Smallpox,No,1677,1678,1.998858447,,,,0.25,,,,,,,,USA
Boston Smallpox Epidemic of 1702–03,Smallpox,No,1702,1703,1.998858447,300,,7000,,0.042857143,,,,,,,USA
Boston Smallpox Epidemic of 1721–22,Smallpox,No,1721,1722,1.165525114,844,6000,11000,0.140666667,0.076727273,0.545454545,,,,,,USA
Boston Smallpox Epidemic of 1763–64,Smallpox,No,1963,1964,1.998858447,170,,17500,0.01,0.009714286,,,,,,,USA
Brazilian HIV/AIDS Epidemic,HIV/AIDS,No,1982,2004,22,,1820000,,,,0.0095,,,,,,Brazil
Brazilian Malaria Epidemic of 1938–40,Malaria,No,1938,1940,2.998858447,,26000,290000,,,0.089655172,,,,,,Brazil
Brazilian Onchocerciasis (River Blindness) Epidemic of 1996,Onchocerciasis,No,1996,1996,0.998858447,,8000,9200,,,0.869565217,,,,,,Brazil
